,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ChIJ-0I2w8anYUgRQBu8aCU4mNo","68306H","Edmund Rice College","-","Old School of Horology","Mill Road","Blanchardstown","Dublin 15","Old School of Horology, Mill Road, Blanchardstown, Dublin 15","Dublin","D15NX98","870922685",,"MR. BRENDAN HARRINGTON","N","Mixed","Day","No subjects taught through Irish","N","N","CATHOLIC","Open","6","14","20","54.6667","-5.9679","CmRaAAAAHqMynopM6ybIJWqN_n9Yq6HSPxznzb-5ilSsZ_lOrDI1G-0ANZk0i9CDFyIX7nahRLW36cLuJKvYU1EoIMSDo51o3LZE6AIlVSfUpMTVJrqwV3GvqVbpfEMpXbndi6iTEhDz6_LU3oCyFKeeg0FDhNXyGhS5gjGFwmn2TCaOtBrbRiy9yE03WQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1"
"ChIJ-12Av80LXUgRbyuvPZLisBA","91426A","Mountmellick Community School","mountmellickcs.ie","Mountmellick","Co Laois",,,"Mountmellick, Co Laois","Laois","R32A099","578624220","office@mountmellickcs.ie","MR. LAWRENCE JOSEPH CURTIN","Y","Mixed","Day","No subjects taught through Irish","N","N","INTER DENOMINATIONAL","Open","235","215","450","53.1181","-7.32674",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0"
"ChIJ-2l4F1NyZ0gRTC4slxmLohE","70080T","Lucan Community College","lucancc.ie","Esker Drive","Lucan","Co Dublin ",,"Esker Drive, Lucan, Co Dublin","Dublin","K78TF67","16282077","admin@lucancc.ie","Diane Birnie","N","Mixed","Day","No subjects taught through Irish","N","N","INTER DENOMINATIONAL","Open","394","507","901","53.3477","-6.44979","CmRaAAAAMMRQEeIWpDsFGt03-o2YqjKUCJxA4erGW76N9fID9UnsqKm5EQWIzV1pmLkjPXR4dZnQaUCUdzcPQTtt0MOWhmf9BK-LFryxWXJcWoJP-UHwHuWEb6XOWs030DIF4ltxEhDjF0PpRaHv8lBv8KHPVNr6GhTJRp9EzsWIpHZsF7GM4jNxl14lig","CmRaAAAA8CrVVBTtmUioRyZwRwhk7VOZlIrn8oSOdyka716WrKcDzv508cDrgCzms35NKrWEdeNWiMZoyBYyQVrCdKEkUkl_GsbbKwo1dvr34_b4rsIkOFRppsNS4YLo-NagiJ4vEhDD3yWLKyQzaHzNJ11qN5WJGhTqiIQDhyVjzjWgd35OBLhdiH9Piw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0"
"ChIJ-593A1sbaEgRZcePXV3X8qM","71680C","Selskar College","wexfordvocational.com","Westgate","Wexford","Co Wexford",,"Westgate, Wexford, Co Wexford","Wexford","Y35RY27","539122753","selskarcollege@wwetb.ie","Ms Eimear Ryan","Y","Mixed","Day","No subjects taught through Irish","N","N","INTER DENOMINATIONAL","Open","183","205","388","52.3414","-6.46784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0"
"ChIJ-eKNHvpyZ0gRWhvfJ9hcIfI","60264A","Coláiste Phádraig","colaistephadraiglucan.ie","Roselawn","Lucan","Co Dublin ",,"Roselawn, Lucan, Co Dublin","Dublin","K78E927","16282299","admin@colaistephadraig.com","MR. ANTHONY J BRADY","N","Boys","Day","No subjects taught through Irish","N","N","CATHOLIC","Open","0","590","590","53.3569","-6.43261",,,,,,,"BT Qualified Projects","An investigation Into the applications of de Rham cohomology to Riemann surfaces","Chemical, Physical & Mathematical Sciences","Dáire Byrne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0"
"ChIJ-f656KFEZ0gRbJslQAMPMnE","76173K","Coláiste na Mí","colaistenami.ie ","Navan","Navan",,,"Navan, Navan","Meath","C15T028",,"colaistenami@lmetb.ie","Patrick Carr (Acting)","N","Mixed","Day","No subjects taught through Irish","N","N","MULTI DENOMINATIONAL","Open","198","424","622","53.6435","-6.64982","CmRaAAAA9GhJ1E7OoRGZUOCVPlpS-zd9qB18vi63PfsrJgqwIaO17aQZ4Ty3gMbkVYjyjhLvKPUJkMB2zYxcoAKFJru1BcZO5GxXaa3J1X47xDTCFeAjn5X9TI-oiHk37QQg1cv9EhBRlgPQGPqtLPyrKeSkK_1YGhSYBH6MCX5f3-y9Ydpl4kxG8lHM2g","CmRaAAAA3K7hiLBhqvtlr0Un6r1WyBW0EvTWnawPhN-ffG4KQUyUH4-zRUxDxOc3fjEjHIneKg2PMRAuvG1lKR8QrsdkFwyjznCQd8Lbb1KQB0Bg1QFL1ceVRZHbnwFZ9wKW8uc3EhC5I_L2Zh6Le1y40S_ftbhzGhTeM-sllPlyG7ockdgd4ePOrYa7Dw","CmRaAAAAe-gGQ8DAuzncGjS1y2LR0huyLp9jcYOc4MogZKP-4AuUjJSqsfpQIg9kJC_vHPouJQrNqMGdelrzLglvaHKZImFjN89iDPnHqgwQtOdS_igpHeGxXRiZ2kearE4dO28BEhBP5DwykP2L_IBF44Eat1UJGhQ70hMwmunzO8PY0PGM6ls-X8OfRA","CmRaAAAA5PAf7_YPx_RhdjWcOPe1QfboKvR9H0T5WLXbX2yaBPTBogXLxGvbVnVb4WtmVKFqnn-bkZ55ychfgN0KazXkc0gAa6fuxkPXdX0ksjQ_C4FuKjULLq7SYg50IT0Bj0OhEhBMhpNWeUdzOaqhh_Va7_lcGhQW3v9VO7dgU2HfMd4E2z4B8k87Zg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0"
"ChIJ-QvDkaFKRUgRrHUmTPlPJqc","68070E","Mercy Mounthawk Secondary School","mercymounthawk.ie","Mounthawk,","Tralee,","Co. Kerry",,"Mounthawk,, Tralee,, Co. Kerry","Kerry","V92A409","667102550","admin@mercymounthawk.ie","MR. JOHN J O'ROARKE","N","Mixed","Day","No subjects taught through Irish","N","N","CATHOLIC","Open","638","613","1251","52.2836","-9.72413",,,,,,,"3rd place Senior group","An investigation into the teaching and learning of Junior Certificate Physics and the promotion of STEM to female students","Social & Behavioural Sciences","Olivia Moriarty, Tamila Khussainova","BT Qualified Projects","The Development of an Anti-microbial smartphone screen protecto","Biological and Ecological","Robin Porter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0"
"ChIJ-UioQdsIZ0gRwAHOnjq8sko","60070K","Dominican College Sion Hill","sionhillcollege.ie","Sion Hill","Blackrock","Co Dublin ",,"Sion Hill, Blackrock, Co Dublin","Dublin","A94TP97","12886791","admin@sionhillcollege.ie","MISS SHEILA DRUM","N","Girls","Day","No subjects taught through Irish","N","N","CATHOLIC","Open","441","0","441","53.3014","-6.18945","CmRaAAAAjBkkatG1_hXX0QD_yr6sb5aim_0zFQJxIp8XeeFUqERSJwKQ3L21KXrWuEpsJvFw0rgx2Egq2R7QLo7AKpqqU8H1ySqy_wEipDFbiG7JYdbGrAUFR2rnCYboSWmHTEMdEhAsgEk6WLNp13ge0hgzMnjPGhTIwhucFKBaeBTpCiip_mX1s_Yk3g","CmRaAAAAUIXXHNv3eLWOQY04az2rwjXGIM-2fe5oEf4YAfmuGoy4aj97lGQMZ8R-HPpTnqVKtF-XPiX3fc86E79LeeGaZcVB9AVoJ-5DzOZZrkLx5V_0p93PzOjWQLrVjxNtMEfdEhCUrzxQp5HmKrwOMiN2xmTjGhRaoK_b3OcX2pP_fzZMEMn2eAvg0Q","CmRaAAAALCDVisq-g7FoyeegNM75D-n72VQQ2RplHgEbC6Oxd2ysjIYYb_6yj9hv0lP2BfJymAQ8zdTe2d_8NpPgnTAf9UbxRIydA_D17qgQwcPeIHw9myl-I-YwqOv4ncUe62ZDEhAY0xlSynz6UMhyB0w58q7jGhSp4FVulhy8RCXYDYOyWyfGUXpecg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"ChIJ-WFfsnI1RUgRPw8LozxSfjc","70550H","Coláiste Gleann Lí","gleannli.ie","Clash Road","Tralee",,,"Clash Road, Tralee","Kerry","V92XR81","667122552","office@gleannli.ie","Mr. Richard Lawlor","Y","Mixed","Day","No subjects taught through Irish","N","N","INTER DENOMINATIONAL","Open","74","93","167","52.2725","-9.68652",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0"
"ChIJ-wFrRXarREgRqGjv5zIoUE4","64130W","Scoil Pol","scoilpol.ie","Kilfinane","Co. Limerick",,,"Kilfinane, Co. Limerick","Limerick","V35YH27","6391197","secretary@scoilpol.ie","MR. MICHAEL O'HARA","N","Mixed","Day","No subjects taught through Irish","N","N","CATHOLIC","Open","193","192","385","52.3613","-8.47128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0"
